doc_id,revision_id,format,source_id,source_nonwhite_chars,emitted_nonwhite_chars,text_coverage_ratio,paragraph_or_text_blocks,table_cells,native_tables,image_markers,page_breaks,pdf_pages,source_entries,status,parser_version
SAM-2025-FY-DART,20260310002820,zip/xml,DART,743369,743369,1.0,1389,63001,2711,16,433,0,3,extracted_full_text,p01-blocks-v1
SKH-2025-FY-DART,20260317000635,zip/xml,DART,510616,510616,1.0,1516,56614,2487,16,212,0,3,extracted_full_text,p01-blocks-v1
SAM-2025Q4-IR,4559931039957693,pdf,SAMSUNG_IR,6277,6277,1.0,282,0,0,103,0,15,1,extracted_full_text,p01-blocks-v1
SAM-2026Q1-IR,629eb49c47b483be,pdf,SAMSUNG_IR,6565,6565,1.0,373,0,0,85,0,16,1,extracted_full_text,p01-blocks-v1
SKH-2025Q4-IR-ALT,581a8e28f3db3a5d,html,SKH_NEWSROOM,10040,10040,1.0,30,53,2,0,0,0,1,extracted_full_text,p01-blocks-v1
SKH-2026Q1-IR-ALT,c2fe1454c8e2362e,html,SKH_NEWSROOM,9450,9450,1.0,27,32,1,1,0,0,1,extracted_full_text,p01-blocks-v1
SAM-2024Q1-DART,20240516001421,zip/xml,DART,293783,293783,1.0,296,29961,1093,4,122,0,1,extracted_full_text,p01-blocks-v1
SAM-2024Q2-DART,20240814003284,zip/xml,DART,436868,436868,1.0,489,40168,1402,4,181,0,1,extracted_full_text,p01-blocks-v1
SAM-2024Q3-DART,20241114002642,zip/xml,DART,310737,310737,1.0,290,29650,1234,4,111,0,1,extracted_full_text,p01-blocks-v1
SAM-2024Q4-DART,20250311001085,zip/xml,DART,685338,685338,1.0,1272,59912,2637,8,433,0,3,extracted_full_text,p01-blocks-v1
SAM-2025Q1-DART,20250515001922,zip/xml,DART,291108,291108,1.0,315,26911,1282,4,111,0,1,extracted_full_text,p01-blocks-v1
SAM-2025Q2-DART,20250814003156,zip/xml,DART,455338,455338,1.0,524,40327,1515,4,186,0,1,extracted_full_text,p01-blocks-v1
SAM-2025Q3-DART,20251114002447,zip/xml,DART,323473,323473,1.0,301,29758,1331,4,107,0,1,extracted_full_text,p01-blocks-v1
SAM-2026Q1-DART,20260515002181,zip/xml,DART,319140,319140,1.0,360,28056,1331,4,102,0,1,extracted_full_text,p01-blocks-v1
