company_id,quarter,report_type,report_period,dart_match_count,dart_latest_rcept_no,dart_status,ir_status
SAM,2024Q1,분기보고서,2024.03,1,20240516001421,listed,downloaded
SAM,2024Q2,반기보고서,2024.06,1,20240814003284,listed,downloaded
SAM,2024Q3,분기보고서,2024.09,1,20241114002642,listed,downloaded
SAM,2024Q4,사업보고서,2024.12,1,20250311001085,listed,downloaded
SAM,2025Q1,분기보고서,2025.03,1,20250515001922,listed,downloaded
SAM,2025Q2,반기보고서,2025.06,1,20250814003156,listed,downloaded
SAM,2025Q3,분기보고서,2025.09,1,20251114002447,listed,downloaded
SAM,2025Q4,사업보고서,2025.12,1,20260310002820,listed,downloaded
SAM,2026Q1,분기보고서,2026.03,1,20260515002181,listed,downloaded
SAM,2026Q2,반기보고서,2026.06,1,20260814003699,listed,downloaded
SKH,2024Q1,분기보고서,2024.03,1,20240516001638,listed,downloaded
SKH,2024Q2,반기보고서,2024.06,1,20240814001887,listed,downloaded
SKH,2024Q3,분기보고서,2024.09,1,20241114001712,listed,downloaded
SKH,2024Q4,사업보고서,2024.12,1,20250319000665,listed,downloaded
SKH,2025Q1,분기보고서,2025.03,1,20250515002103,listed,downloaded
SKH,2025Q2,반기보고서,2025.06,1,20250814003049,listed,downloaded
SKH,2025Q3,분기보고서,2025.09,1,20251114001805,listed,downloaded
SKH,2025Q4,사업보고서,2025.12,1,20260317000635,listed,downloaded
SKH,2026Q1,분기보고서,2026.03,1,20260515002287,listed,downloaded
SKH,2026Q2,반기보고서,2026.06,1,20260814003509,listed,downloaded
