company_id,corp_code,corp_name,stock_code,report_nm,rcept_no,flr_nm,rcept_dt,rm,corp_cls
SAM,00126380,삼성전자,005930,반기보고서 (2026.06),20260814003699,삼성전자,20260814,,Y
SAM,00126380,삼성전자,005930,분기보고서 (2026.03),20260515002181,삼성전자,20260515,,Y
SAM,00126380,삼성전자,005930,사업보고서 (2025.12),20260310002820,삼성전자,20260310,연,Y
SAM,00126380,삼성전자,005930,분기보고서 (2025.09),20251114002447,삼성전자,20251114,,Y
SAM,00126380,삼성전자,005930,반기보고서 (2025.06),20250814003156,삼성전자,20250814,,Y
SAM,00126380,삼성전자,005930,분기보고서 (2025.03),20250515001922,삼성전자,20250515,,Y
SAM,00126380,삼성전자,005930,사업보고서 (2024.12),20250311001085,삼성전자,20250311,연,Y
SAM,00126380,삼성전자,005930,분기보고서 (2024.09),20241114002642,삼성전자,20241114,,Y
SAM,00126380,삼성전자,005930,반기보고서 (2024.06),20240814003284,삼성전자,20240814,,Y
SAM,00126380,삼성전자,005930,분기보고서 (2024.03),20240516001421,삼성전자,20240516,,Y
SAM,00126380,삼성전자,005930,사업보고서 (2023.12),20240312000736,삼성전자,20240312,연,Y
SKH,00164779,SK하이닉스,000660,반기보고서 (2026.06),20260814003509,SK하이닉스,20260814,,Y
SKH,00164779,SK하이닉스,000660,분기보고서 (2026.03),20260515002287,SK하이닉스,20260515,,Y
SKH,00164779,SK하이닉스,000660,사업보고서 (2025.12),20260317000635,SK하이닉스,20260317,연,Y
SKH,00164779,SK하이닉스,000660,분기보고서 (2025.09),20251114001805,SK하이닉스,20251114,,Y
SKH,00164779,SK하이닉스,000660,반기보고서 (2025.06),20250814003049,SK하이닉스,20250814,,Y
SKH,00164779,SK하이닉스,000660,분기보고서 (2025.03),20250515002103,SK하이닉스,20250515,,Y
SKH,00164779,SK하이닉스,000660,사업보고서 (2024.12),20250319000665,SK하이닉스,20250319,연,Y
SKH,00164779,SK하이닉스,000660,분기보고서 (2024.09),20241114001712,SK하이닉스,20241114,,Y
SKH,00164779,SK하이닉스,000660,반기보고서 (2024.06),20240814001887,SK하이닉스,20240814,,Y
SKH,00164779,SK하이닉스,000660,분기보고서 (2024.03),20240516001638,SK하이닉스,20240516,,Y
SKH,00164779,SK하이닉스,000660,사업보고서 (2023.12),20240319000684,SK하이닉스,20240319,연,Y
