doc_id,revision_id,source_id,source_url,attachment_url,source_api_record_id,title,company_ids,reference_period_start,reference_period_end,published_date,event_date_raw,time_precision,observed_at,format,storage_uri,byte_size,sha256,parse_status
SAM-2025-FY-DART,20260310002820,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310002820,https://opendart.fss.or.kr/api/document.xml?rcept_no=20260310002820,20260310002820,사업보고서 (2025.12),SAM,2025-01-01,2025-12-31,20260310,,date,2026-09-15T07:40:48+00:00,zip/xml,artifacts/p0/raw/SAM-2025-FY-DART.zip,780394,56aec6645106e1438845e6c583777e551915fec10c5eba0df0fad00679c918b4,full_text_layer_extracted
SKH-2025-FY-DART,20260317000635,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260317000635,https://opendart.fss.or.kr/api/document.xml?rcept_no=20260317000635,20260317000635,사업보고서 (2025.12),SKH,2025-01-01,2025-12-31,20260317,,date,2026-09-15T07:40:48+00:00,zip/xml,artifacts/p0/raw/SKH-2025-FY-DART.zip,685293,a35107e6d41e630edd035da243af5b876c2838533808ed2e0a21ff2b24c9c4f5,full_text_layer_extracted
SAM-2025Q4-IR,4559931039957693,SAMSUNG_IR,https://images.samsung.com/kdp/ir/events/2025/2025_4Q_conference_kor.pdf,https://images.samsung.com/kdp/ir/events/2025/2025_4Q_conference_kor.pdf,,삼성전자 2025Q4 실적발표 IR,SAM,2025-10-01,2025-12-31,,,unknown,2026-09-15T07:40:48+00:00,pdf,artifacts/p0/raw/SAM-2025Q4-IR.pdf,3116904,4559931039957693adf164a03a7ae76aaf2ff272c4e1ff8773a44c91ef3c3052,full_text_layer_extracted
SAM-2026Q1-IR,629eb49c47b483be,SAMSUNG_IR,https://images.samsung.com/kdp/ir/events/2026/2026_1Q_conference_kor.pdf,https://images.samsung.com/kdp/ir/events/2026/2026_1Q_conference_kor.pdf,,삼성전자 2026Q1 실적발표 IR,SAM,2026-01-01,2026-03-31,,,unknown,2026-09-15T07:40:48+00:00,pdf,artifacts/p0/raw/SAM-2026Q1-IR.pdf,3524225,629eb49c47b483be1d73ce5f1560f9570e347492e341d1713a5827cd50f46d59,full_text_layer_extracted
SKH-2025Q4-IR-ALT,581a8e28f3db3a5d,SKH_NEWSROOM,https://news.skhynix.com/en/sk-hynix-announces-fy25-financial-results/,https://news.skhynix.com/en/sk-hynix-announces-fy25-financial-results/,,SK하이닉스 FY2025 공식 실적발표 HTML (IR 대체 후보),SKH,2025-10-01,2025-12-31,,,unknown,2026-09-15T07:40:48+00:00,html,artifacts/p0/raw/SKH-2025Q4-IR-ALT.html,154554,581a8e28f3db3a5daaf58d71ec5a29718113bd890af8222b1f3b535a4912e864,full_text_layer_extracted
SKH-2026Q1-IR-ALT,c2fe1454c8e2362e,SKH_NEWSROOM,https://news.skhynix.com/en/q1-2026-business-results/,https://news.skhynix.com/en/q1-2026-business-results/,,SK하이닉스 2026Q1 공식 실적발표 HTML (IR 대체 후보),SKH,2026-01-01,2026-03-31,,,unknown,2026-09-15T07:40:48+00:00,html,artifacts/p0/raw/SKH-2026Q1-IR-ALT.html,149645,c2fe1454c8e2362e960d114a295737cf2eb384b49017043ebbc9401098637399,full_text_layer_extracted
SAM-2024Q1-DART,20240516001421,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240516001421,https://opendart.fss.or.kr/api/document.xml?rcept_no=20240516001421,20240516001421,분기보고서 (2024.03),SAM,2024-01-01,2024-03-31,20240516,,date,2026-09-15T07:44:00+00:00,zip/xml,artifacts/p0/raw/SAM-2024Q1-DART.zip,258884,a5b829d914c376ea66886bc7fa181ba969006e7c4a581891638f4f604a33ce15,full_text_layer_extracted
SAM-2024Q2-DART,20240814003284,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240814003284,https://opendart.fss.or.kr/api/document.xml?rcept_no=20240814003284,20240814003284,반기보고서 (2024.06),SAM,2024-01-01,2024-06-30,20240814,,date,2026-09-15T07:44:00+00:00,zip/xml,artifacts/p0/raw/SAM-2024Q2-DART.zip,378450,b3efd5ad61258d8db82f7a87d296bedb6513562a6b00bbb62b9f1641a8c70166,full_text_layer_extracted
SAM-2024Q3-DART,20241114002642,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241114002642,https://opendart.fss.or.kr/api/document.xml?rcept_no=20241114002642,20241114002642,분기보고서 (2024.09),SAM,2024-01-01,2024-09-30,20241114,,date,2026-09-15T07:44:00+00:00,zip/xml,artifacts/p0/raw/SAM-2024Q3-DART.zip,263255,c04396d14e99f1811620ce571ee88c4941f1ec0eba2648efa96baf03bf9e5fa5,full_text_layer_extracted
SAM-2024Q4-DART,20250311001085,DART,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250311001085,https://opendart.fss.or.kr/api/document.xml?rcept_no=20250311001085,20250311001085,사업보고서 (2024.12),SAM,2024-01-01,2024-12-31,20250311,,date,2026-09-15T07:44:00+00:00,zip/xml,artifacts/p0/raw/SAM-2024Q4-DART.zip,676026,606ffc728a5a275fcfc27d798560f3fd73e9880641399389d72b35fdc1fbb2d6,full_text_layer_extracted
