company_id,quarter,metric_scope,dart_doc_id,ir_doc_id,dart_cumulative_raw,dart_quarter_converted,ir_quarter_raw,absolute_delta,tolerance,status
SAM,2024Q1,SAM_DS_revenue,SAM-2024Q1-DART,SAM-2024Q1-IR,"231,373",23.1373,23.14,0.0027,0.15,within_rounding
SAM,2024Q2,SAM_DS_revenue,SAM-2024Q2-DART,SAM-2024Q2-IR,"516,938",28.5565,28.56,0.0035,0.15,within_rounding
SAM,2024Q3,SAM_DS_revenue,SAM-2024Q3-DART,SAM-2024Q3-IR,"809,652",29.2714,29.27,0.0014,0.15,within_rounding
SAM,2024Q4,SAM_DS_revenue,SAM-2024Q4-DART,SAM-2024Q4-IR,"1,110,660",30.1008,30.1,0.0008,0.15,within_rounding
SAM,2025Q1,SAM_DS_revenue,SAM-2025Q1-DART,SAM-2025Q1-IR,"251,310",25.131,25.1,0.031,0.15,within_rounding
SAM,2025Q2,SAM_DS_revenue,SAM-2025Q2-DART,SAM-2025Q2-IR,"530,061",27.8751,27.9,0.0249,0.15,within_rounding
SAM,2025Q3,SAM_DS_revenue,SAM-2025Q3-DART,SAM-2025Q3-IR,"861,229",33.1168,33.1,0.0168,0.15,within_rounding
SAM,2025Q4,SAM_DS_revenue,SAM-2025-FY-DART,SAM-2025Q4-IR,"1,301,282",44.0053,44.0,0.0053,0.15,within_rounding
SAM,2026Q1,SAM_DS_revenue,SAM-2026Q1-DART,SAM-2026Q1-IR,"817,156",81.7156,81.7,0.0156,0.15,within_rounding
SAM,2026Q2,SAM_DS_revenue,SAM-2026Q2-DART,SAM-2026Q2-IR,"2,092,317",127.5161,127.5,0.0161,0.15,within_rounding
SKH,2024Q1,SKH_company_revenue,SKH-2024Q1-DART,SKH-2024Q1-IR,"12,429,598",12429.598,12430,0.402,1.0,within_rounding
SKH,2024Q2,SKH_company_revenue,SKH-2024Q2-DART,SKH-2024Q2-IR,"28,852,856",16423.258,16423,0.258,1.0,within_rounding
SKH,2024Q3,SKH_company_revenue,SKH-2024Q3-DART,SKH-2024Q3-IR,"46,425,925",17573.069,17573,0.069,1.0,within_rounding
SKH,2024Q4,SKH_company_revenue,SKH-2024Q4-DART,SKH-2024Q4-IR,"66,192,960",19767.035,19767,0.035,1.0,within_rounding
SKH,2025Q1,SKH_company_revenue,SKH-2025Q1-DART,SKH-2025Q1-IR,"17,639,141",17639.141,17639,0.141,1.0,within_rounding
SKH,2025Q2,SKH_company_revenue,SKH-2025Q2-DART,SKH-2025Q2-IR,"39,871,093",22231.952,22232,0.048,1.0,within_rounding
SKH,2025Q3,SKH_company_revenue,SKH-2025Q3-DART,SKH-2025Q3-IR,"64,320,022",24448.929,24449,0.071,1.0,within_rounding
SKH,2025Q4,SKH_company_revenue,SKH-2025-FY-DART,SKH-2025Q4-IR,"97,146,675",32826.653,32827,0.347,1.0,within_rounding
SKH,2026Q1,SKH_company_revenue,SKH-2026Q1-DART,SKH-2026Q1-IR,"52,576,287",52576.287,52576,0.287,1.0,within_rounding
SKH,2026Q2,SKH_company_revenue,SKH-2026Q2-DART,SKH-2026Q2-IR,"131,895,033",79318.746,79319,0.254,1.0,within_rounding
