quarter,seq,title,event_date_raw,display_date_raw,file_name,file_url,api_url,api_bcode,api_lang
2024Q1,5579,SK hynix FY2024 Q1 Earnings Results,"Apr 25, 2024/ 9:00 AM KST",2024.01.01,1Q24_Earnings Presentation_ENG.pdf,https://mis-prod-koce-homepage-cdn-01-blob-ep.azureedge.net/web/attach/61321621157035970.pdf,https://homeapi.skhynix.com/board/list,105,ENG
2024Q2,5612,SK hynix FY2024 Q2 Earnings Results,"Jul 25, 2024 / 9:00 AM KST",2024.01.01,2Q24_Earnings Presentation_ENG.pdf,https://mis-prod-koce-homepage-cdn-01-blob-ep.azureedge.net/web/attach/66003067237742062.pdf,https://homeapi.skhynix.com/board/list,105,ENG
2024Q3,5691,SK hynix FY2024 Q3 Earnings Results,"Oct 24, 2024/ 9:00 AM KST",2024.01.01,3Q24_Earnings Presentation_ENG.pdf,https://mis-prod-koce-homepage-cdn-01-blob-ep.azureedge.net/web/attach/77045741902433810.pdf,https://homeapi.skhynix.com/board/list,105,ENG
2024Q4,5712,SK hynix FY2024 Q4 Earnings Results,"Jan 23, 2025/ 9:00 AM KST",2024.01.01,4Q24_Earnings Presentation_ENG.pdf,https://mis-prod-koce-homepage-cdn-01-blob-ep.azureedge.net/web/attach/81727201766385339.pdf,https://homeapi.skhynix.com/board/list,105,ENG
2025Q1,5766,SK hynix FY2025 Q1 Earnings Results,"Apr 24, 2025/ 9:00 AM KST",2025.01.01,1Q25_Earnings Presentation_ENG.pdf,https://mis-prod-koce-homepage-cdn-01-blob-ep.azureedge.net/web/attach/5001632852769028.pdf,https://homeapi.skhynix.com/board/list,105,ENG
2025Q2,5797,SK hynix FY2025 Q2 Earnings Results,"Jul 24, 2025/ 9:00 AM KST",2025.01.01,2Q25_Earnings Presentation_ENG.pdf,https://mis-prod-koce-homepage-cdn-01-blob-ep.azureedge.net/web/attach/40103454849895488.pdf,https://homeapi.skhynix.com/board/list,105,ENG
2025Q3,5831,SK hynix FY2025 Q3 Earnings Results,"Oct 29, 2025/ 9:00 AM KST",2025.01.01,3Q25_Earnings Presentation_ENG.pdf,https://mis-prod-koce-homepage-cdn-01-blob-ep.azureedge.net/web/attach/3127648149034921.pdf,https://homeapi.skhynix.com/board/list,105,ENG
2025Q4,6180,SK hynix FY2025 Q4 Earnings Results,"Jan 29, 2026/ 9:00 AM KST",2025.01.01,4Q25_Earnings Presentation_ENG.pdf,https://mis-prod-koce-homepage-cdn-01-blob-ep.azureedge.net/web/attach/116964051831620258.pdf,https://homeapi.skhynix.com/board/list,105,ENG
2026Q1,6433,SK hynix FY2026 Q1 Earnings Results,"Apr 23, 2026/ 9:00 AM KST",2026.01.01,1Q26_Earnings Presentation_ENG.pdf,https://mis-prod-koce-homepage-cdn-01-blob-ep.azureedge.net/web/attach/18333727317328069.pdf,https://homeapi.skhynix.com/board/list,105,ENG
2026Q2,6850,SK hynix FY2026 Q2 Earnings Results,"Jul 29, 2026/ 9:00 AM KST",2026.01.01,2Q26_Earnings Presentation_ENG.pdf,https://mis-prod-koce-homepage-cdn-01-blob-ep.azureedge.net/web/attach/13571040283022005.pdf,https://homeapi.skhynix.com/board/list,105,ENG
